,country,compete_num,plac_final_med,first_place_num,first_place_for_compete
Albania,Albania,20.0,0.0,0.0,0.0
Yugoslavia,Yugoslavia,27.0,0.0,0.0,0.0
hu,0,0.0,15.5,0.0,0.0
hr,0,0.0,12.0,0.0,0.0
gr,0,0.0,10.5,1.0,0.0
ge,0,0.0,11.0,0.0,0.0
gb,0,0.0,7.0,5.0,0.0
fr,0,0.0,8.0,5.0,0.0
fi,0,0.0,15.0,1.0,0.0
es,0,0.0,11.5,2.0,0.0
ee,0,0.0,8.0,1.0,0.0
dk,0,0.0,9.0,3.0,0.0
de,0,0.0,9.0,2.0,0.0
cz,0,0.0,11.0,0.0,0.0
cy,0,0.0,13.5,0.0,0.0
cs,0,0.0,4.5,0.0,0.0
ch,0,0.0,9.5,1.0,0.0
by,0,0.0,16.5,0.0,0.0
bg,0,0.0,5.0,0.0,0.0
be,0,0.0,11.0,1.0,0.0
ba,0,0.0,14.0,0.0,0.0
az,0,0.0,8.0,1.0,0.0
au,0,0.0,9.0,0.0,0.0
at,0,0.0,13.0,2.0,0.0
am,0,0.0,9.0,0.0,0.0
ie,0,0.0,7.0,7.0,0.0
il,0,0.0,8.5,4.0,0.0
is,0,0.0,15.0,0.0,0.0
pl,0,0.0,17.0,0.0,0.0
ua,0,0.0,6.0,3.0,0.0
tr,0,0.0,14.0,1.0,0.0
sm,0,0.0,22.0,0.0,0.0
sk,0,0.0,19.0,0.0,0.0
si,0,0.0,15.0,0.0,0.0
se,0,0.0,7.0,7.0,0.0
ru,0,0.0,8.0,1.0,0.0
rs,0,0.0,13.5,1.0,0.0
ro,0,0.0,13.0,0.0,0.0
pt,0,0.0,13.0,1.0,0.0
no,0,0.0,12.0,3.0,0.0
it,0,0.0,6.0,3.0,0.0
nl,0,0.0,10.5,5.0,0.0
mt,0,0.0,10.0,0.0,0.0
mk,0,0.0,14.0,0.0,0.0
me,0,0.0,16.0,0.0,0.0
md,0,0.0,11.0,0.0,0.0
mc,0,0.0,6.0,1.0,0.0
ma,0,0.0,18.0,0.0,0.0
lv,0,0.0,13.5,1.0,0.0
lu,0,0.0,9.0,5.0,0.0
lt,0,0.0,16.0,0.0,0.0
al,0,0.0,17.0,0.0,0.0
United Kingdom,United Kingdom,66.0,0.0,0.0,0.0
Andorra,Andorra,6.0,0.0,0.0,0.0
Ukraine,Ukraine,19.0,0.0,0.0,0.0
Israel,Israel,47.0,0.0,0.0,0.0
Ireland,Ireland,58.0,0.0,0.0,0.0
Iceland,Iceland,36.0,0.0,0.0,0.0
Hungary,Hungary,17.0,0.0,0.0,0.0
Greece,Greece,44.0,0.0,0.0,0.0
Germany,Germany,68.0,0.0,0.0,0.0
Georgia,Georgia,16.0,0.0,0.0,0.0
France,France,67.0,0.0,0.0,0.0
Finland,Finland,58.0,0.0,0.0,0.0
Estonia,Estonia,29.0,0.0,0.0,0.0
Denmark,Denmark,52.0,0.0,0.0,0.0
Czechia,Czechia,4.0,0.0,0.0,0.0
Czech Republic,Czech Republic,9.0,0.0,0.0,0.0
Cyprus,Cyprus,40.0,0.0,0.0,0.0
Croatia,Croatia,30.0,0.0,0.0,0.0
Bulgaria,Bulgaria,15.0,0.0,0.0,0.0
Bosnia & Herzegovina,Bosnia & Herzegovina,19.0,0.0,0.0,0.0
Belgium,Belgium,66.0,0.0,0.0,0.0
Belarus,Belarus,17.0,0.0,0.0,0.0
Azerbaijan,Azerbaijan,17.0,0.0,0.0,0.0
Austria,Austria,56.0,0.0,0.0,0.0
Australia,Australia,9.0,0.0,0.0,0.0
Armenia,Armenia,16.0,0.0,0.0,0.0
Italy,Italy,50.0,0.0,0.0,0.0
Latvia,Latvia,25.0,0.0,0.0,0.0
Lithuania,Lithuania,24.0,0.0,0.0,0.0
Romania,Romania,24.0,0.0,0.0,0.0
Turkey,Turkey,34.0,0.0,0.0,0.0
Switzerland,Switzerland,65.0,0.0,0.0,0.0
Sweden,Sweden,64.0,0.0,0.0,0.0
Spain,Spain,63.0,0.0,0.0,0.0
Slovenia,Slovenia,29.0,0.0,0.0,0.0
Slovakia,Slovakia,7.0,0.0,0.0,0.0
Serbia & Montenegro,Serbia & Montenegro,2.0,0.0,0.0,0.0
Serbia,Serbia,17.0,0.0,0.0,0.0
San Marino,San Marino,14.0,0.0,0.0,0.0
Russia,Russia,24.0,0.0,0.0,0.0
Portugal,Portugal,56.0,0.0,0.0,0.0
Luxembourg,Luxembourg,37.0,0.0,0.0,0.0
Poland,Poland,26.0,0.0,0.0,0.0
Norway,Norway,63.0,0.0,0.0,0.0
North MacedoniaN.Macedonia,North MacedoniaN.Macedonia,2.0,0.0,0.0,0.0
North Macedonia,North Macedonia,20.0,0.0,0.0,0.0
Netherlands,Netherlands,66.0,0.0,0.0,0.0
Morocco,Morocco,1.0,0.0,0.0,0.0
Montenegro,Montenegro,12.0,0.0,0.0,0.0
Monaco,Monaco,24.0,0.0,0.0,0.0
Moldova,Moldova,20.0,0.0,0.0,0.0
Malta,Malta,37.0,0.0,0.0,0.0
yu,0,0.0,11.0,1.0,0.0
